,0
799,19
800,20
801,20
802,19
803,18
804,13
805,14
806,16
807,14
808,15
809,14
810,14
811,13
812,15
813,13
814,11
815,14
816,15
817,14
818,14
819,14
820,12
821,13
822,11
823,9
824,10
825,10
826,9
827,14
828,12
829,12
830,12
831,13
832,12
833,15
834,15
835,16
836,16
837,14
838,11
839,14
840,15
841,15
842,13
843,15
844,17
845,15
846,16
847,14
848,16
849,14
850,15
851,14
852,14
853,15
854,13
855,14
856,17
857,19
858,18
859,19
860,19
861,18
862,17
863,16
864,17
865,17
866,17
867,20
868,21
869,18
870,18
871,18
872,17
873,18
874,18
875,18
876,18
877,18
878,16
879,19
880,20
881,18
882,20
883,23
884,22
885,22
886,21
887,17
888,21
889,18
890,21
891,25
892,25
893,23
894,24
895,24
896,22
897,22
898,22
899,20
900,19
901,24
902,24
903,22
904,21
905,24
906,20
907,19
908,18
909,22
910,22
911,22
912,21
913,21
914,22
915,24
916,24
917,26
918,22
919,22
920,24
921,23
922,22
923,21
924,25
925,24
926,23
927,24
928,22
929,25
930,25
931,28
932,28
933,28
934,26
935,25
936,27
937,21
938,19
939,26
940,29
941,28
942,25
943,27
944,28
945,29
946,32
947,26
948,22
949,25
950,28
951,27
952,23
953,24
954,23
955,20
956,21
957,15
958,19
959,18
960,20
961,25
962,27
963,23
964,22
965,22
966,22
967,19
968,20
969,22
970,17
971,22
972,17
973,19
974,22
975,22
976,19
977,20
978,22
979,25
980,25
981,28
982,28
983,22
984,23
985,23
986,22
987,27
988,26
989,23
990,27
991,24
992,21
993,20
994,20
995,22
996,26
997,25
998,25
999,26
1000,28
1001,25
1002,26
1003,23
1004,24
1005,26
1006,27
1007,28
1008,31
1009,28
1010,29
1011,28
1012,27
1013,27
1014,23
1015,29
1016,30
1017,30
1018,28
1019,28
1020,27
1021,29
1022,32
1023,32
1024,31
1025,28
1026,26
1027,27
1028,30
1029,27
1030,27
1031,30
1032,24
1033,26
1034,27
1035,31
1036,29
1037,27
1038,25
1039,27
1040,28
1041,26
1042,27
1043,24
1044,24
1045,28
1046,26
1047,26
1048,27
1049,25
1050,27
1051,27
1052,23
1053,25
1054,25
1055,24
1056,21
1057,21
1058,20
1059,20
1060,21
1061,20
1062,16
1063,22
1064,22
1065,24
1066,24
1067,25
1068,22
1069,26
1070,23
1071,21
1072,23
1073,23
1074,21
1075,17
1076,21
1077,22
1078,22
1079,20
1080,22
1081,22
1082,24
1083,25
1084,22
1085,20
1086,21
1087,17
1088,19
1089,19
1090,21
1091,21
1092,23
1093,22
1094,22
1095,27
1096,21
1097,22
1098,20
1099,18
1100,18
1101,21
1102,25
1103,21
1104,20
1105,19
1106,20
1107,18
1108,20
1109,18
1110,17
1111,21
1112,20
1113,22
1114,21
1115,21
1116,20
1117,18
1118,18
1119,16
1120,14
1121,15
1122,18
1123,15
1124,18
1125,14
1126,14
1127,18
1128,16
1129,17
1130,12
1131,10
1132,13
1133,12
1134,14
1135,12
1136,14
1137,14
1138,12
1139,12
1140,11
1141,11
1142,12
1143,13
1144,11
1145,14
1146,14
1147,10
1148,9
1149,12
1150,12
1151,11
1152,12
1153,9
1154,10
1155,7
1156,7
1157,15
1158,11
1159,10
1160,12
1161,8
1162,8
1163,9
1164,12
1165,11
1166,10
1167,9
1168,9
1169,11
1170,8
1171,9
1172,11
1173,11
1174,11
1175,13
1176,13
1177,11
1178,9
1179,9
1180,10
1181,8
1182,8
1183,9
1184,7
1185,7
1186,10
1187,8
1188,9
1189,9
1190,8
1191,7
1192,7
1193,7
1194,7
1195,8
1196,7
1197,9
1198,6
1199,7
1200,7
1201,7
1202,7
1203,8
1204,8
1205,7
1206,7
1207,7
1208,7
1209,7
1210,6
1211,6
1212,6
1213,8
1214,7
1215,6
1216,7
1217,6
1218,6
1219,7
1220,6
1221,5
1222,5
1223,4
1224,4
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,4
1236,4
1237,4
1238,5
1239,5
1240,5
1241,5
1242,4
1243,5
1244,5
1245,5
1246,5
1247,5
1248,5
1249,5
1250,5
1251,4
1252,5
1253,4
1254,4
1255,4
1256,4
1257,4
1258,5
1259,4
1260,4
1261,4
1262,3
1263,4
1264,3
1265,3
1266,4
1267,4
1268,4
1269,4
1270,3
1271,4
1272,3
1273,4
1274,4
1275,3
1276,2
1277,3
1278,2
1279,4
1280,2
1281,1
1282,2
1283,5
1284,4
1285,3
1286,2
1287,5
1288,6
1289,6
1290,8
1291,6
1292,7
1293,6
1294,8
1295,7
1296,5
1297,6
1298,5
1299,7
1300,6
1301,7
1302,7
1303,8
1304,8
1305,7
1306,8
1307,10
1308,9
1309,8
1310,8
1311,10
1312,9
1313,8
1314,9
1315,9
1316,10
1317,9
1318,8
1319,7
1320,9
1321,14
1322,12
1323,12
1324,12
1325,12
1326,12
1327,14
1328,11
1329,11
1330,12
1331,13
1332,11
1333,11
1334,13
1335,12
1336,14
1337,14
1338,14
1339,14
1340,13
1341,10
1342,14
1343,12
1344,12
1345,11
1346,14
1347,10
1348,15
1349,17
1350,15
1351,15
1352,18
1353,18
1354,17
1355,15
1356,15
1357,14
1358,15
1359,17
1360,19
1361,16
1362,17
1363,18
1364,20
1365,17
1366,17
1367,15
1368,15
1369,16
1370,20
1371,17
1372,16
1373,19
1374,17
1375,14
1376,16
1377,17
1378,17
1379,16
1380,19
1381,17
1382,17
1383,21
1384,19
1385,18
1386,18
1387,19
1388,15
1389,19
1390,21
1391,20
1392,20
1393,20
1394,19
1395,24
1396,23
1397,23
1398,22
1399,24
1400,25
1401,25
1402,24
1403,25
1404,24
1405,21
1406,22
1407,27
1408,29
1409,25
1410,27
1411,24
1412,27
1413,24
1414,25
1415,25
1416,26
1417,23
1418,23
1419,28
1420,26
1421,24
1422,23
1423,24
1424,25
1425,25
1426,21
1427,25
1428,23
1429,25
1430,26
1431,25
1432,30
1433,30
1434,29
1435,28
1436,33
1437,31
1438,34
1439,32
1440,34
1441,32
1442,32
1443,33
1444,31
